feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X6f0b4058c92e83c77533a218739a0e38	entacapone	entacapone	-0.0147502645409653	0.00406239402145635	184	183	0.000374674255233687	0.120832447312864
Xe8d0f444dc3a43708bc843fd8472b381	entacapone	entacapone	0.0294702796755242	0.00789331356387163	184	144	0.000258165674046202	0.120832447312864
Xd926c5000a193dc8473f190e75b9fcd0	Age	Age	0.00426580331675998	0.0012938711517962	184	38	0.00119281481086871	0.124286393110564
X7888dc681f2841bbc77d1f456dbda3d9	Age	Age	0.0167666923938877	0.00520784633351191	184	178	0.00154153665873568	0.124286393110564
X76214bb13d1e7d69ca2f7827e3ac12e2	entacapone	entacapone	-0.0108021014827941	0.00319251619379804	184	169	0.00089042431956505	0.124286393110564
Xdc04cb67b3295173275e20a8a7a3d16a	Age	Age	0.00239785936329339	0.000716096690617989	184	23	0.00100293112546094	0.124286393110564
Xdd887bed9045e6e59c223bf9074e8f71	Age	Age	0.00279320542278585	0.000860859374963336	184	32	0.0014189579006097	0.124286393110564
X76aa915543cd876d620ebeafeb9fd767	entacapone	entacapone	0.0150603789734978	0.00464821082682297	184	173	0.00144082201520626	0.124286393110564
Xa55f549b9a40506a070a2fb7e8ca0726	Tert_combine	Combine High	0.176621857257542	0.0556031340726235	184	106	0.00177419583084611	0.127150701210638
Xa49ea569715664c78018691088f7aaac	Age	Age	0.0118137598873515	0.00394148528464238	184	120	0.00313727429466398	0.202354192005827
X959a41695798ad7798d39740d7e9ae19	entacapone	entacapone	0.00997878329832604	0.00338848853545476	184	61	0.00368872294461339	0.216293299934149
X5b73138c8555560a7cd45cb7bd7ca6da	Age	Age	0.00442842837076476	0.00152002391297137	184	26	0.00406197506524451	0.218331159756892
X3d846e34d0ebbaa6096f5b1e5e8afa03	Age	Age	0.0182923736745329	0.00640859832033687	184	170	0.00485583006935844	0.240245874209228
X7bf7ea59cac793e65c0bc293eabf44dc	entacapone	entacapone	0.0103427056480053	0.00365400508356463	184	23	0.00521463913012279	0.240245874209228
X93f6e99ff381954b541d29cc24c2be7c	Tert_combine	Combine Medium	-0.0102444924409899	0.00369329369946015	184	28	0.00616729013517665	0.265193475812596
X2487d88c9966a6b0e2b87711d51811a8	entacapone	entacapone	0.0025389636672787	0.000948760998711564	184	24	0.00818646875281826	0.310604255621634
Xa9625534f57e5ed4661782588cc20467	Sex	Male	-0.00641166032435872	0.00238225610542042	184	97	0.00783440711472746	0.310604255621634
X9f05e4992392a05c38e1c790e07f3e5c	Age	Age	0.0050135049042142	0.00190686430433595	184	131	0.00935306542777081	0.317511957942746
X18f3b811ae49dad2e01b20f5f39d10a7	Tert_combine	Combine High	-0.020968231157307	0.00793758191374957	184	135	0.00902954394616362	0.317511957942746
Xff241ad98176a2c70cdb70878176ca2e	Age	Age	0.00641886421129396	0.00246477269930619	184	119	0.0100327963902606	0.323557683585904
X94adac1e5690b5aef26d6014e471f458	Tert_combine	Combine High	-0.0134601193809949	0.00526147385963891	184	86	0.011403549818412	0.34272654088921
X85c51ab58e3beec0355a935d17f0758e	Age	Age	0.00762766653038993	0.00299210736397775	184	141	0.0116898975187018	0.34272654088921
X855166a7ea9905b7590e5e5fb7da7866	Tert_combine	Combine Medium	0.0116389469355694	0.00467124232695405	184	144	0.0136864974131068	0.383816992671908
X9f185911874fb5d5b2623b647359f33b	Sex	Male	-0.00917429681660051	0.00370884309987827	184	54	0.0143690132281233	0.386167230505814
Xfc2bf17d11280ea7e498670124f07400	entacapone	entacapone	0.00203232876214561	0.000857612332080531	184	51	0.0189346884914807	0.413029790722673
X9f05e4992392a05c38e1c790e07f3e5c	entacapone	entacapone	-0.00464550037582212	0.00192337928793718	184	131	0.0167957699850308	0.413029790722673
X1941bdf9450a85f4069a80e526137af7	entacapone	entacapone	-0.0121379060896995	0.00514891484810072	184	179	0.0195564148390553	0.413029790722673
Xc5a684b3dfddaa1e68d4563ea771ed15	Age	Age	0.0121883930223375	0.00514694844929729	184	162	0.0190175633656987	0.413029790722673
X182071d231a63cae957730240a214721	entacapone	entacapone	0.00234813125508161	0.000998514147471815	184	65	0.0198510442052757	0.413029790722673
X570cad8230542ad8f2c032a719120bee	entacapone	entacapone	-0.00437929665459246	0.00183738302644635	184	70	0.0182675599795366	0.413029790722673
X76d6be90e19a660c9a84b35fa31d801c	Tert_combine	Combine High	-0.0851969338840677	0.0361633156794544	184	184	0.0196318166376762	0.413029790722673
X6be7c1afdd690efab2c28453f0d304da	entacapone	entacapone	-0.0152819055296265	0.00665914006933353	184	171	0.0229772039151255	0.463134266414248
X269fea3886e14ab0acb08ade901906fd	Sex	Male	0.00427644431742148	0.00187441731292789	184	28	0.0237753637781878	0.464700292028216
X4c089330a0f8ccdd7dd92492808e9247	Age	Age	0.00391454016841233	0.00173260968925464	184	126	0.0251480859312188	0.465146346661004
X988ee95161bcfd6129fddab0fda16d68	Age	Age	0.00198784825208287	0.000880405101238907	184	22	0.0252404994312173	0.465146346661004
X77be5efca77e4204775e4e828a1580db	entacapone	entacapone	0.0032760734388279	0.00146380637792347	184	64	0.0265317911709918	0.469251530184275
X0b2e7a7da00f71987193e385a9a4a4d1	Age	Age	0.004375477663588	0.00196009376717594	184	161	0.0269183048322763	0.469251530184275
Xec65ab01e974afdd946f7c025b3ceba5	entacapone	entacapone	0.00569895978186072	0.00261173363019708	184	53	0.0304936979409134	0.51759039926024
X79a123f051e7c2965a46226b1d95246e	entacapone	entacapone	0.00579803132243738	0.00278031793234144	184	159	0.0385460661033877	0.528983247589045
Xd926c5000a193dc8473f190e75b9fcd0	Tert_combine	Combine Medium	0.0068579240430181	0.00321907353638527	184	38	0.0345937886281269	0.528983247589045
Xd926c5000a193dc8473f190e75b9fcd0	Sex	Male	0.00594178289703554	0.00283481741307388	184	38	0.037580592704939	0.528983247589045
Xc44642d31840ae8b6896c0bc0f5a8802	entacapone	entacapone	0.00588547625455809	0.00279995250235132	184	167	0.037045179099318	0.528983247589045
X93f6e99ff381954b541d29cc24c2be7c	Tert_combine	Combine High	-0.00809315059851964	0.00385046329921086	184	28	0.0370564952391306	0.528983247589045
Xa55f549b9a40506a070a2fb7e8ca0726	Sex	Male	0.0980868292266919	0.0469671623806776	184	106	0.0382685247741658	0.528983247589045
Xf9fecdd58f0cedd3463e687ffd85ef48	Age	Age	0.00175366217687602	0.000836929687970054	184	35	0.0376391058462321	0.528983247589045
X4661cd41d2df6a4bf70276894e6cc779	Age	Age	0.00191070319517858	0.000913793445505795	184	37	0.0380366766614286	0.528983247589045
X4a21bd45b5ff48f40bbcadf6930fc3ee	entacapone	entacapone	-0.0116176002916947	0.00548660159537112	184	172	0.035693563715306	0.528983247589045
Xff241ad98176a2c70cdb70878176ca2e	entacapone	entacapone	-0.0051553569738617	0.00248611961980663	184	119	0.0396371688854186	0.532624456897813
X1131f697b19dc061094f3b846b9f66a0	entacapone	entacapone	-0.00202459043118475	0.00098666687215458	184	66	0.0417264449656285	0.54244760744091
X6e373fe39ea68760cf9b2bf171476a55	Age	Age	0.0101298371618199	0.00494459392225482	184	120	0.0420502021272023	0.54244760744091
Xa3d1f4355f204d4d49ad2bea3b801265	Age	Age	0.0029972806111965	0.00150278110575052	184	25	0.047716012087075	0.559902936803531
X8c3c2cadc6f0966f44b3f2371d81abd3	entacapone	entacapone	0.00314291052374963	0.00160653183131173	184	79	0.0520839941212587	0.559902936803531
X194d511e554b455dac7747ef6442339f	Tert_combine	Combine Medium	0.00494164338538399	0.00246532274634059	184	72	0.0466270700132587	0.559902936803531
X194d511e554b455dac7747ef6442339f	Age	Age	0.00195452261767822	0.000990909323848174	184	72	0.0501990016717581	0.559902936803531
X5fe7ab4157717cdcf56706e5c043b959	Age	Age	0.00598813749231142	0.00303249822492256	184	145	0.0499461352229458	0.559902936803531
Xa55f549b9a40506a070a2fb7e8ca0726	Age	Age	-0.0428071793618017	0.0214368150152543	184	106	0.0474507688300257	0.559902936803531
X278651ccb0f0d07cd2ab0837262dfc39	Age	Age	0.0112485730835431	0.00574405914808204	184	121	0.0518511608883481	0.559902936803531
X96c7cedbae877361d087a8b39206d408	Sex	Male	-0.0433181137535671	0.0221146691349951	184	180	0.0517922017293091	0.559902936803531
X4661cd41d2df6a4bf70276894e6cc779	Tert_combine	Combine Medium	0.00451345961815388	0.00227346308329575	184	37	0.0487408022513044	0.559902936803531
X4c8288bfbd76958c0c094d87b97650f8	entacapone	entacapone	0.0166902281979805	0.00824490184519181	184	91	0.0445223680295689	0.559902936803531
Xd4dcc0bc5f5a6e517ddf472187dbc2e7	Tert_combine	Combine High	0.0313482480683883	0.0163924356484142	184	151	0.0575314900283754	0.566023664407792
X94adac1e5690b5aef26d6014e471f458	Sex	Male	-0.00848132845940177	0.00444429079851131	184	86	0.0580493739969377	0.566023664407792
Xe52994cd67774b8f72113d04a0b2c493	Age	Age	0.00187628024402236	0.000967038004832714	184	64	0.0540255948299424	0.566023664407792
Xde021ed367003d69832c2a5461985f38	Age	Age	0.00389849523986605	0.00203607271458217	184	154	0.0572283913134723	0.566023664407792
X0b2e7a7da00f71987193e385a9a4a4d1	Sex	Male	0.00815256577713642	0.00429448321398478	184	161	0.0593604722996181	0.566023664407792
X570cad8230542ad8f2c032a719120bee	Tert_combine	Combine High	-0.00895853592099974	0.00472491026771241	184	70	0.0596738126817517	0.566023664407792
X9f185911874fb5d5b2623b647359f33b	Tert_combine	Combine High	-0.00839589223728872	0.00439079752073114	184	54	0.057557842652678	0.566023664407792
X94a45fbb634a4ae23f34d8160d95c8b7	Tert_combine	Combine Medium	-0.0105055502373488	0.0054697143151374	184	155	0.0564661251626766	0.566023664407792
X7ba07d9f4e22c332b04d5646fe2ea051	Age	Age	0.00258405272835478	0.00137685473082576	184	27	0.0622822498884754	0.582203640261835
Xce7e172e3d64bc42dddb2f4aa26e3a03	entacapone	entacapone	0.00678259922446334	0.00362682622162838	184	81	0.063206887648411	0.582406321903216
Xd3f1d99ffce8ccadfd2ee75f7b86b0c5	Age	Age	0.00450994635298321	0.00243961539962807	184	147	0.0662688709705891	0.588770425537706
Xd4dcc0bc5f5a6e517ddf472187dbc2e7	Age	Age	0.0116670704988318	0.00631981661655167	184	151	0.0666360326577559	0.588770425537706
X93f6e99ff381954b541d29cc24c2be7c	Sex	Male	-0.00602397073623642	0.00325243060541648	184	28	0.0657598683993422	0.588770425537706
X8c3c2cadc6f0966f44b3f2371d81abd3	Sex	Male	-0.00639780420228409	0.00348962091212973	184	79	0.0685156559471822	0.593123756773454
X57188cc28844564b611d3dd0d6e30de7	Age	Age	0.00480504628046325	0.0026251892458923	184	67	0.0689678786945877	0.593123756773454
X960b9cea75175246a62496526868a249	Sex	Male	-0.00891485158795004	0.00489044047279216	184	84	0.0700941250329398	0.594877771661134
X84311c29ab5cf09c0720c450dc7c1a43	Age	Age	0.0133148597869264	0.00734127343278583	184	56	0.0715085786357255	0.599000431429129
X9c19eb9efc671777c92ee43ca21be172	Tert_combine	Combine Medium	-0.00492482761712454	0.00273663479678685	184	37	0.0737195043568768	0.60271979471259
X1941bdf9450a85f4069a80e526137af7	Sex	Male	-0.0200786409432698	0.011184192294551	184	179	0.0744082277925215	0.60271979471259
X5fe7ab4157717cdcf56706e5c043b959	Tert_combine	Combine Medium	0.0135283506275348	0.00754467303133837	184	145	0.0747559435302437	0.60271979471259
X93f6e99ff381954b541d29cc24c2be7c	entacapone	entacapone	0.00265622018327449	0.00149733550672275	184	28	0.0778804410676578	0.607002647597085
Xa0ac269acfcd16c66700762ee6340b07	entacapone	entacapone	-0.00421120672777952	0.00236634904916004	184	97	0.0769456922155417	0.607002647597085
X0b3590ab4de6582222af6f3565ceca0c	Age	Age	0.00237327420368511	0.00133888033224869	184	30	0.0781104182179194	0.607002647597085
X9c19eb9efc671777c92ee43ca21be172	Age	Age	0.00191713516377361	0.00109996021418642	184	37	0.0831784482355246	0.616667805884062
X5fe7ab4157717cdcf56706e5c043b959	Tert_combine	Combine High	0.0138275452068807	0.00786573962854909	184	145	0.0805778630532148	0.616667805884062
X959a41695798ad7798d39740d7e9ae19	Sex	Male	0.0128518582263238	0.0073602901750039	184	61	0.0826201759635612	0.616667805884062
X4c8288bfbd76958c0c094d87b97650f8	Tert_combine	Combine Medium	-0.0356069449109809	0.0203366873361354	184	91	0.0817931266014247	0.616667805884062
X960b9cea75175246a62496526868a249	Tert_combine	Combine Medium	-0.0096107051549181	0.00555333385304783	184	84	0.0853559150202537	0.618590620090603
X6ca83bb8d84d22ff21607c96e42f4295	Tert_combine	Combine High	0.00436012641165288	0.00251652744701129	184	28	0.0850025860401119	0.618590620090603
Xf3270b7f9b020567e59ec30f7d15fc14	Sex	Male	0.0147984405087514	0.00858487853136589	184	44	0.0865872155026485	0.620541711102315
Xd3f1d99ffce8ccadfd2ee75f7b86b0c5	Tert_combine	Combine High	-0.0108460228138617	0.0063279112151049	184	147	0.0883735396063069	0.62171812547854
X059d6e79cba765d062053442b8ada21c	Age	Age	0.0113832290811637	0.0066477633310795	184	124	0.0886791744868614	0.62171812547854
X7a6db5f059c69a310d7c97e1b488fe74	Tert_combine	Combine Medium	-0.0119494319213709	0.00700206831549594	184	146	0.0897520549133784	0.622473929237947
X5b73138c8555560a7cd45cb7bd7ca6da	entacapone	entacapone	0.00259931521630973	0.00153318854662627	184	26	0.0918586110123372	0.625209048426122
X18f3b811ae49dad2e01b20f5f39d10a7	Tert_combine	Combine Medium	-0.01289874199643	0.00761358283222912	184	135	0.0920850536441575	0.625209048426122
Xd3f1d99ffce8ccadfd2ee75f7b86b0c5	entacapone	entacapone	-0.00410083588940464	0.00246074443761287	184	147	0.0974767575028737	0.628090326291762
Xcbd66fa79a3e7fa1c33d29ed908de048	Sex	Male	0.00673588519461372	0.00420440093358737	184	19	0.111011313484125	0.628090326291762
X9c19eb9efc671777c92ee43ca21be172	Sex	Male	-0.00388756067775102	0.00240996668372685	184	37	0.108595714173412	0.628090326291762
Xcb645d9e303b0e2d761969abb610d210	Sex	Male	0.0101931362936298	0.00634179901967179	184	20	0.109867668227766	0.628090326291762
X2487d88c9966a6b0e2b87711d51811a8	Age	Age	0.0015783048955704	0.000940614517966201	184	24	0.0952160280323399	0.628090326291762
X74fafaec802530941890c1f49dfbf3e4	Tert_combine	Combine High	-0.0171038271289118	0.0104745936787573	184	47	0.104365599584755	0.628090326291762
X74fafaec802530941890c1f49dfbf3e4	Age	Age	0.00655164669566839	0.00403829623629124	184	47	0.106597344230909	0.628090326291762
X74fafaec802530941890c1f49dfbf3e4	Sex	Male	-0.0145924154536804	0.00884773763901979	184	47	0.100958452226031	0.628090326291762
Xc43bbd203d077ba15c26090580d64d32	Tert_combine	Combine High	-0.00973702031250283	0.00578497842682908	184	113	0.0942023115365094	0.628090326291762
Xc43bbd203d077ba15c26090580d64d32	entacapone	entacapone	0.00373016905705565	0.00224961334026778	184	113	0.0991556344859686	0.628090326291762
Xa3d1f4355f204d4d49ad2bea3b801265	Sex	Male	-0.00541881581295822	0.00329253035799271	184	25	0.101676425218274	0.628090326291762
Xc2f27e09022e99cda9f6629948f66252	entacapone	entacapone	-0.00148649972422338	0.000899301198578138	184	28	0.100208631197571	0.628090326291762
X2a7ee151e83dbc4a4ac13f84a434c8c7	Age	Age	0.00130160602190734	0.000809050773436989	184	25	0.10953625744991	0.628090326291762
X86b5603a79c587d59312beef52df3409	Sex	Male	0.00918679633214535	0.00567731742303252	184	172	0.10750449146227	0.628090326291762
X1300fb2208dcbb54d400995de3bc2eaa	Tert_combine	Combine High	-0.0165807569446203	0.0100614496760516	184	172	0.101232089665801	0.628090326291762
X1300fb2208dcbb54d400995de3bc2eaa	Tert_combine	Combine Medium	-0.0154806020677338	0.00965075779416273	184	172	0.11057438031649	0.628090326291762
X7a6db5f059c69a310d7c97e1b488fe74	Tert_combine	Combine High	-0.0119058683926363	0.00730004415065211	184	146	0.104778147764306	0.628090326291762
X9f79ff73dcbc3e304545d60cdbbca33b	Tert_combine	Combine High	0.00480390379851736	0.00291489127621074	184	57	0.101210141944122	0.628090326291762
Xf247c06edb93b0f02277e395b87328aa	Sex	Male	-0.0132849842435951	0.00822101755904514	184	149	0.107975384952767	0.628090326291762
X86486b103104c344caa9a990b454797c	Tert_combine	Combine High	-0.010908270195434	0.00685123023108405	184	111	0.113228074465846	0.635061808960617
X80a9a51ced500bf3bfbca440e0971948	Age	Age	0.00125673640633021	0.000797534166824945	184	54	0.116958308532455	0.650328525891669
Xc43bbd203d077ba15c26090580d64d32	Age	Age	0.00347297887657387	0.00223029716708414	184	113	0.121309063984034	0.657515514871447
X84b17f815f1e8767da103f96068901ec	Age	Age	0.00451715980891062	0.00290013251248398	184	131	0.121216992140202	0.657515514871447
X0029d1a452fe37b0ff76a9c1da5ccf21	Age	Age	0.00338942172445007	0.00217415311205882	184	84	0.120887215466053	0.657515514871447
Xfbbeae3dceada6928b2cdc472f5d9901	Sex	Male	-0.0416387180583862	0.027277617412223	184	147	0.128770994142255	0.670140744874588
X6e373fe39ea68760cf9b2bf171476a55	Tert_combine	Combine Medium	0.0187242464415984	0.0123018520207405	184	120	0.129872237378796	0.670140744874588
X182071d231a63cae957730240a214721	Age	Age	0.00150992129829443	0.000989940464228725	184	65	0.129073411118304	0.670140744874588
X96c7cedbae877361d087a8b39206d408	entacapone	entacapone	-0.0155208166873577	0.0101810256182279	184	180	0.129267963125852	0.670140744874588
Xe0565865ef72ba498c2938b247ff36dc	Tert_combine	Combine Medium	-0.00565060562431871	0.00367379335700218	184	27	0.125909196556753	0.670140744874588
Xf857e38c09d5f11ed7357057fffcc3a0	Age	Age	0.00372388748405285	0.00242103130674763	184	65	0.125895457544935	0.670140744874588
Xc00514d54b15725f03c323c54796a7c0	Age	Age	0.0049041619156721	0.00323344751005878	184	106	0.131222464813857	0.671734046070936
X988ee95161bcfd6129fddab0fda16d68	Tert_combine	Combine Medium	0.00329588921543357	0.00219039489269265	184	22	0.134278695586935	0.676951074158805
Xa75f6c6ef715f88994d61a440132c65b	Sex	Male	-0.0298933321816707	0.019869810706132	184	161	0.134340678282678	0.676951074158805
X1f9695def389854178788b2e4a8792ee	Age	Age	0.000818702958454898	0.000547642673133208	184	28	0.136801332240909	0.678745071502972
Xa55f549b9a40506a070a2fb7e8ca0726	entacapone	entacapone	-0.032362033809958	0.0216224751315166	184	106	0.136351575407825	0.678745071502972
Xcb645d9e303b0e2d761969abb610d210	Age	Age	-0.00428638234267226	0.00289453238300286	184	20	0.140518271261714	0.689452389458372
X94a45fbb634a4ae23f34d8160d95c8b7	entacapone	entacapone	-0.00327902977601678	0.00221753213314231	184	155	0.141097233191481	0.689452389458372
X1131f697b19dc061094f3b846b9f66a0	Age	Age	0.00144024072459397	0.000978194914847092	184	66	0.14279855946244	0.692519329723861
Xecb427bf4473bf2f3205b06132125d07	Tert_combine	Combine High	0.00228781221643938	0.00156555465378867	184	23	0.145789216968005	0.696548481069357
X1703aefcb845a13faff8f80ea8265820	Tert_combine	Combine Medium	0.00385159475749579	0.00263214487209272	184	61	0.145256109875223	0.696548481069357
Xa49ea569715664c78018691088f7aaac	Tert_combine	Combine Medium	0.0142356936420641	0.0098061781161365	184	120	0.148448078489366	0.702795224485706
Xe0565865ef72ba498c2938b247ff36dc	Age	Age	0.00213925915732308	0.00147664077522855	184	27	0.149275884890762	0.702795224485706
X9f185911874fb5d5b2623b647359f33b	Age	Age	0.00244397151149611	0.00169279512371396	184	54	0.150671751993647	0.704226666926826
X4a21bd45b5ff48f40bbcadf6930fc3ee	Age	Age	-0.00779865194345218	0.00543949121212933	184	172	0.153513630420946	0.712347421737485
X0029d1a452fe37b0ff76a9c1da5ccf21	Tert_combine	Combine Medium	0.00772839503734806	0.00540916206174184	184	84	0.15492981331889	0.7137837827906
Xd3f1d99ffce8ccadfd2ee75f7b86b0c5	Tert_combine	Combine Medium	-0.00794653523481658	0.00606961625274545	184	147	0.192243632679643	0.742524284428494
X79a123f051e7c2965a46226b1d95246e	Tert_combine	Combine High	-0.00936602968857893	0.007149708338948	184	159	0.191988401499708	0.742524284428494
X84311c29ab5cf09c0720c450dc7c1a43	Tert_combine	Combine High	0.0253491954409588	0.0190419057428311	184	56	0.184916323805948	0.742524284428494
Xfc4575c432e5f43c1eaf202f1c5816c4	entacapone	entacapone	-0.00226325329269371	0.00163681842346581	184	69	0.168587468957862	0.742524284428494
X9c19eb9efc671777c92ee43ca21be172	Tert_combine	Combine High	-0.00375806305080535	0.00285309339192585	184	37	0.189569013077615	0.742524284428494
X9228756628ca33af7e8809e0968c79f8	Tert_combine	Combine Medium	-0.00240474637466806	0.00182738159498142	184	20	0.18998297863745	0.742524284428494
X40f29bc827ddfc03d7fb5b76fb311557	Tert_combine	Combine High	-0.010493640406969	0.00799484144623872	184	153	0.191124454306683	0.742524284428494
X40f29bc827ddfc03d7fb5b76fb311557	Tert_combine	Combine Medium	-0.0103475294665981	0.00766850512446848	184	153	0.179038878271194	0.742524284428494
X8ac938c2111c4dea67b9a99a3f7900bc	Tert_combine	Combine Medium	-0.00319267429035369	0.00235446661841595	184	29	0.17691660381318	0.742524284428494
Xce7e172e3d64bc42dddb2f4aa26e3a03	Age	Age	0.00500072550787672	0.00359568469070395	184	81	0.166138360482904	0.742524284428494
Xfbbeae3dceada6928b2cdc472f5d9901	Age	Age	0.0164015162625203	0.0124500865899293	184	147	0.189504563262343	0.742524284428494
Xc2f27e09022e99cda9f6629948f66252	Age	Age	0.00119254278284028	0.000891579401509702	184	28	0.182847194432491	0.742524284428494
X194d511e554b455dac7747ef6442339f	entacapone	entacapone	-0.00135090051430786	0.00099949139819738	184	72	0.178324231892847	0.742524284428494
X0bc4e35da130d9cb9fc1090c80011153	Tert_combine	Combine Medium	0.0210088145074242	0.0156840572497151	184	179	0.182216792300532	0.742524284428494
Xf3e1ff3be3a6f13f24666ea97d99cd0b	Age	Age	0.00397022205201043	0.00283247976296845	184	160	0.162856481354271	0.742524284428494
X5fe7ab4157717cdcf56706e5c043b959	entacapone	entacapone	-0.00413987425811488	0.00305876210659546	184	145	0.177730899970069	0.742524284428494
X00dcba6e262a3194c68f52e6af48a071	entacapone	entacapone	-0.0046838837876946	0.00358552460245559	184	160	0.193225477147683	0.742524284428494
X970c4c927d69ee41accb2c1a29f9a023	entacapone	entacapone	-0.00342647725555302	0.00264449308112717	184	35	0.196855275406624	0.742524284428494
X0b3590ab4de6582222af6f3565ceca0c	entacapone	entacapone	-0.00181263145463801	0.00135047611632248	184	30	0.18133681825248	0.742524284428494
X0029d1a452fe37b0ff76a9c1da5ccf21	entacapone	entacapone	-0.00289276508570454	0.00219298303242105	184	84	0.18893060433432	0.742524284428494
Xc71265e180d7e06bd350017b893ea44a	Age	Age	0.00364299463421921	0.00271626806219578	184	95	0.181673542304641	0.742524284428494
X6ca83bb8d84d22ff21607c96e42f4295	Age	Age	0.00125879002658946	0.000970203105672633	184	28	0.196255171503419	0.742524284428494
